,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
2,warmup_ratio-0.2,default,0.9072090628218331,0.8143953177931514,4461,4348,456,445,0.9686009340293605,0.9680304646689729
4,warmup_ratio-0.2,dropout-0.2,0.9072090628218331,0.8143953177931514,4461,4348,456,445,0.9686009340293605,0.9680304646689729
3,warmup_ratio-0.2,dropout-0.05,0.9072090628218331,0.8143953177931514,4461,4348,456,445,0.9686009340293605,0.9680304646689729
8,warmup_ratio-0.2,learning_rate-4e-05,0.9071060762100926,0.8141935336334309,4453,4355,449,453,0.9685221209530175,0.9678904123195583
30,default,learning_rate-1e-05,0.9069001029866117,0.8137808526842978,4467,4339,465,439,0.9688086908144559,0.9682082440997718
34,dropout-0.05,dropout-0.2,0.9069001029866117,0.8137791490377587,4465,4341,463,441,0.9684884954547661,0.9678851831862293
36,dropout-0.05,learning_rate-1e-05,0.9069001029866117,0.8137808526842978,4467,4339,465,439,0.9688086908144559,0.9682082440997718
28,default,dropout-0.2,0.9069001029866117,0.8137791490377587,4465,4341,463,441,0.9684884954547661,0.9678851831862293
41,dropout-0.2,learning_rate-1e-05,0.9069001029866117,0.8137808526842978,4467,4339,465,439,0.9688086908144559,0.9682082440997718
27,default,dropout-0.05,0.9069001029866117,0.8137791490377587,4465,4341,463,441,0.9684884954547661,0.9678851831862293
0,warmup_ratio-0.2,weight_decay-0.005,0.9066941297631308,0.8133664912343572,4463,4341,463,443,0.9685802495746002,0.967996109672609
5,warmup_ratio-0.2,weight_decay-0.02,0.9066941297631308,0.8133655387470015,4457,4347,457,449,0.9685553857992372,0.9679064358441873
22,train_batch_size-32,weight_decay-0.02,0.9065911431513903,0.8131657175909147,4468,4335,469,438,0.9692642791898177,0.9685634551354102
16,weight_decay-0.005,warmup_ratio-0.05,0.9065911431513903,0.8131602159934019,4462,4341,463,444,0.968751262282111,0.9681762626638196
49,learning_rate-1e-05,warmup_ratio-0.05,0.9064881565396499,0.8129533875291174,4459,4343,461,447,0.9689647470700629,0.9683540704970945
45,weight_decay-0.02,learning_rate-1e-05,0.9064881565396499,0.8129590560043753,4467,4335,469,439,0.9687733681301728,0.9680919219875772
23,train_batch_size-32,learning_rate-1e-05,0.9063851699279094,0.8127503258002557,4464,4337,467,442,0.9691488493248425,0.9683806269700312
13,weight_decay-0.005,dropout-0.2,0.9063851699279094,0.8127503258002557,4464,4337,467,442,0.9685405142066352,0.9679455888867412
11,weight_decay-0.005,default,0.9063851699279094,0.8127503258002557,4464,4337,467,442,0.9685405142066352,0.9679455888867412
12,weight_decay-0.005,dropout-0.05,0.9063851699279094,0.8127503258002557,4464,4337,467,442,0.9685405142066352,0.9679455888867412
7,warmup_ratio-0.2,warmup_ratio-0.05,0.9062821833161689,0.8125413489065424,4456,4344,460,450,0.9687817904158548,0.9682248785693867
14,weight_decay-0.005,weight_decay-0.02,0.9062821833161689,0.8125424647598539,4461,4339,465,445,0.9685340012552389,0.967881010491946
40,dropout-0.2,weight_decay-0.02,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.9685470695876821,0.9679059013754769
46,weight_decay-0.02,warmup_ratio-0.05,0.9061791967044284,0.8123357631064916,4459,4340,464,447,0.9687464677315718,0.9681269318042899
54,learning_rate-4e-05,train_batch_size-8,0.9061791967044284,0.8123416616902935,4466,4333,471,440,0.9676674392823212,0.966729622662319
35,dropout-0.05,weight_decay-0.02,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.9685470695876821,0.9679059013754769
29,default,weight_decay-0.02,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.9685470695876821,0.9679059013754769
9,warmup_ratio-0.2,train_batch_size-8,0.9060762100926879,0.8121350029538369,4465,4333,471,441,0.9680054126656921,0.9671927122626642
48,weight_decay-0.02,train_batch_size-8,0.9057672502574665,0.8115205208213303,4466,4329,475,440,0.9680626502646082,0.9671510621675323
6,warmup_ratio-0.2,learning_rate-1e-05,0.9057672502574665,0.8115114576418457,4456,4339,465,450,0.9687347783627791,0.9681202184410157
53,warmup_ratio-0.05,train_batch_size-8,0.9057672502574665,0.8115152420039348,4462,4333,471,444,0.9682292502884365,0.9674485017655647
26,train_batch_size-32,train_batch_size-8,0.9057672502574665,0.8115176057896725,4464,4331,473,442,0.9684951144802895,0.9676914269934831
37,dropout-0.05,warmup_ratio-0.05,0.905664263645726,0.8113055793550514,4456,4338,466,450,0.9687743440121409,0.9682171157841776
42,dropout-0.2,warmup_ratio-0.05,0.905664263645726,0.8113055793550514,4456,4338,466,450,0.9687743440121409,0.9682171157841776
31,default,warmup_ratio-0.05,0.905664263645726,0.8113055793550514,4456,4338,466,450,0.9687743440121409,0.9682171157841776
18,weight_decay-0.005,train_batch_size-8,0.9053553038105047,0.8106964531703625,4464,4327,477,442,0.9680934966207329,0.9672850317231426
51,learning_rate-1e-05,train_batch_size-8,0.9052523171987642,0.8104912473724885,4464,4326,478,442,0.968308763454018,0.9675212630868778
39,dropout-0.05,train_batch_size-8,0.9049433573635427,0.8098723855193948,4462,4325,479,444,0.9680956817477487,0.9672988351213312
44,dropout-0.2,train_batch_size-8,0.9049433573635427,0.8098723855193948,4462,4325,479,444,0.9680956817477487,0.9672988351213312
33,default,train_batch_size-8,0.9049433573635427,0.8098723855193948,4462,4325,479,444,0.9680956817477487,0.9672988351213312
