,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
29,default,weight_decay-0.02,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.96857191214822,0.9679380355838045
9,warmup_ratio-0.2,train_batch_size-8,0.9060762100926879,0.8121350029538369,4465,4333,471,441,0.9682557263905299,0.9675278932178266
48,weight_decay-0.02,train_batch_size-8,0.9057672502574665,0.8115205208213303,4466,4329,475,440,0.9682889488070988,0.9674399686216799
6,warmup_ratio-0.2,learning_rate-1e-05,0.9057672502574665,0.8115114576418457,4456,4339,465,450,0.9687724771075061,0.9681661570419255
53,warmup_ratio-0.05,train_batch_size-8,0.9057672502574665,0.8115152420039348,4462,4333,471,444,0.9685118529775262,0.9678212565167628
26,train_batch_size-32,train_batch_size-8,0.9057672502574665,0.8115176057896725,4464,4331,473,442,0.9689636226843169,0.9682333655583316
37,dropout-0.05,warmup_ratio-0.05,0.905664263645726,0.8113055793550514,4456,4338,466,450,0.9688187466416931,0.9682712926564818
42,dropout-0.2,warmup_ratio-0.05,0.905664263645726,0.8113055793550514,4456,4338,466,450,0.9688187466416931,0.9682712926564818
31,default,warmup_ratio-0.05,0.905664263645726,0.8113055793550514,4456,4338,466,450,0.9688187466416931,0.9682712926564818
18,weight_decay-0.005,train_batch_size-8,0.9053553038105047,0.8106964531703625,4464,4327,477,442,0.9683866218632184,0.9676532910883118
51,learning_rate-1e-05,train_batch_size-8,0.9052523171987642,0.8104912473724885,4464,4326,478,442,0.9686196242905338,0.9679030077199346
39,dropout-0.05,train_batch_size-8,0.9049433573635427,0.8098723855193948,4462,4325,479,444,0.9683812120827425,0.9676792068304996
44,dropout-0.2,train_batch_size-8,0.9049433573635427,0.8098723855193948,4462,4325,479,444,0.9683812120827425,0.9676792068304996
33,default,train_batch_size-8,0.9049433573635427,0.8098723855193948,4462,4325,479,444,0.9683812120827425,0.9676792068304996
