,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
129,default,learning_rate-4e-05,train_batch_size-8,0.9066941297631308,0.8133659872800109,4462,4342,462,444,0.9685985579689164,0.967957959266913
48,weight_decay-0.005,train_batch_size-32,weight_decay-0.02,0.9066941297631308,0.8133698880484237,4467,4337,467,439,0.9692833513178479,0.9686593147179461
161,learning_rate-1e-05,warmup_ratio-0.05,learning_rate-4e-05,0.9066941297631308,0.8133653039312755,4459,4345,459,447,0.9692627517223893,0.9687453023028553
156,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9066941297631308,0.8133656214146584,4461,4343,461,445,0.9691609417753178,0.9685981130647592
154,dropout-0.2,learning_rate-4e-05,train_batch_size-8,0.9066941297631308,0.8133659872800109,4462,4342,462,444,0.9685985579689164,0.967957959266913
6,warmup_ratio-0.2,weight_decay-0.005,warmup_ratio-0.05,0.9065911431513903,0.8131594866391333,4460,4343,461,446,0.9688142915283601,0.9682646014144349
57,weight_decay-0.005,default,warmup_ratio-0.05,0.9065911431513903,0.8131607877528534,4463,4340,464,443,0.9687826814385213,0.9682305721679567
63,weight_decay-0.005,dropout-0.05,warmup_ratio-0.05,0.9065911431513903,0.8131607877528534,4463,4340,464,443,0.9687826814385213,0.9682305721679567
2,warmup_ratio-0.2,weight_decay-0.005,dropout-0.05,0.9065911431513903,0.813159782290519,4461,4342,462,445,0.9686763527336407,0.9681148387451268
143,dropout-0.05,warmup_ratio-0.05,train_batch_size-8,0.9065911431513903,0.8131671178081,4469,4334,470,437,0.9687349056517313,0.9681184594424102
155,weight_decay-0.02,learning_rate-1e-05,warmup_ratio-0.05,0.9065911431513903,0.813163331424499,4466,4337,467,440,0.9689946387590447,0.968397723229302
16,warmup_ratio-0.2,train_batch_size-32,train_batch_size-8,0.9065911431513903,0.8131686561232658,4470,4333,471,436,0.9691596688857941,0.9685206084703069
68,weight_decay-0.005,dropout-0.2,warmup_ratio-0.05,0.9065911431513903,0.8131607877528534,4463,4340,464,443,0.9687826814385213,0.9682305721679567
153,dropout-0.2,warmup_ratio-0.05,train_batch_size-8,0.9065911431513903,0.8131671178081,4469,4334,470,437,0.9687349056517313,0.9681184594424102
3,warmup_ratio-0.2,weight_decay-0.005,dropout-0.2,0.9065911431513903,0.813159782290519,4461,4342,462,445,0.9686763527336407,0.9681148387451268
79,weight_decay-0.005,warmup_ratio-0.05,train_batch_size-8,0.9065911431513903,0.8131607877528534,4463,4340,464,443,0.9687301535308428,0.9681000497947625
1,warmup_ratio-0.2,weight_decay-0.005,default,0.9065911431513903,0.813159782290519,4461,4342,462,445,0.9686763527336407,0.9681148387451268
128,default,warmup_ratio-0.05,train_batch_size-8,0.9065911431513903,0.8131671178081,4469,4334,470,437,0.9687349056517313,0.9681184594424102
53,weight_decay-0.005,default,dropout-0.05,0.9064881565396499,0.8129558950884617,4464,4338,466,442,0.9685628534177761,0.9679841459784028
54,weight_decay-0.005,default,dropout-0.2,0.9064881565396499,0.8129558950884617,4464,4338,466,442,0.9685628534177761,0.9679841459784028
93,train_batch_size-32,dropout-0.05,train_batch_size-8,0.9064881565396499,0.8129652033367577,4471,4331,473,435,0.9692001467726481,0.9685814285023489
132,dropout-0.05,dropout-0.2,warmup_ratio-0.05,0.9064881565396499,0.8129539764904117,4461,4341,463,445,0.9687511986376349,0.9681996201828774
41,warmup_ratio-0.2,learning_rate-1e-05,train_batch_size-8,0.9064881565396499,0.8129670853531066,4472,4330,474,434,0.9687884730858541,0.9681519059335627
36,warmup_ratio-0.2,weight_decay-0.02,warmup_ratio-0.05,0.9064881565396499,0.8129539764904117,4461,4341,463,445,0.9688001200249963,0.9682092571706117
112,default,dropout-0.05,warmup_ratio-0.05,0.9064881565396499,0.8129539764904117,4461,4341,463,445,0.9687511986376349,0.9681996201828774
117,default,dropout-0.2,warmup_ratio-0.05,0.9064881565396499,0.8129539764904117,4461,4341,463,445,0.9687511986376349,0.9681996201828774
160,weight_decay-0.02,learning_rate-4e-05,train_batch_size-8,0.9064881565396499,0.8129551175279935,4463,4339,465,443,0.9685552585102848,0.9678314483849818
60,weight_decay-0.005,dropout-0.05,dropout-0.2,0.9064881565396499,0.8129558950884617,4464,4338,466,442,0.9685628534177761,0.9679841459784028
159,weight_decay-0.02,warmup_ratio-0.05,train_batch_size-8,0.9064881565396499,0.8129618535377986,4469,4333,471,437,0.9686764800225929,0.9680021158335362
24,warmup_ratio-0.2,dropout-0.05,dropout-0.2,0.9064881565396499,0.8129568106841073,4465,4337,467,441,0.9686415179903416,0.9680774854656651
17,warmup_ratio-0.2,default,dropout-0.05,0.9064881565396499,0.8129568106841073,4465,4337,467,441,0.9686415179903416,0.9680774854656651
18,warmup_ratio-0.2,default,dropout-0.2,0.9064881565396499,0.8129568106841073,4465,4337,467,441,0.9686415179903416,0.9680774854656651
98,train_batch_size-32,dropout-0.2,train_batch_size-8,0.9064881565396499,0.8129652033367577,4471,4331,473,435,0.9692001467726481,0.9685814285023489
87,train_batch_size-32,default,train_batch_size-8,0.9064881565396499,0.8129652033367577,4471,4331,473,435,0.9692001467726481,0.9685814285023489
39,warmup_ratio-0.2,learning_rate-1e-05,warmup_ratio-0.05,0.9064881565396499,0.8129539764904117,4461,4341,463,445,0.969024827455582,0.968466735319816
