,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
1058,baseline,drop-duplicates,curriculum-strict-shuffled,0.9055,0.8109391331800422,4647,4408,498,447,0.9675868038799633,0.9686218152757999
178,vinai-preprocessing,hardest-appended,curriculum-reordered,0.9055,0.8109255416946233,4634,4421,485,460,0.9686258511208202,0.9698398170391843
1067,baseline,larger-batches-larger-learning-rate,curriculum-strict-shuffled,0.9055,0.8109267290532534,4637,4418,488,457,0.9679950081556825,0.9690346100856586
491,easiest-interleaved,mispredictions-interleaved,curriculum-reordered,0.9055,0.8109273846737736,4638,4417,489,456,0.9681440208227196,0.9693260426511645
734,corrects-interleaved,mispredictions-appended,mispredictions-interleaved,0.9055,0.8109816993408435,4603,4452,454,491,0.9679187411998897,0.9689509778207201
723,corrects-interleaved,drop-duplicates,curriculum-reordered,0.9054,0.8107263530677822,4636,4418,488,458,0.9677201910243155,0.9688904657519186
1192,drop-duplicates,curriculum-strict-shuffled,only-corrects,0.9054,0.8107253663862607,4633,4421,485,461,0.9676233367921558,0.968648188480686
127,vinai-preprocessing,easiest-appended,mispredictions-interleaved,0.9054,0.8107252972289493,4632,4422,484,462,0.968595700464372,0.9696207127175679
181,vinai-preprocessing,corrects-appended,only-corrects,0.9054,0.8107538320080154,4611,4443,463,483,0.9678623212588257,0.9687003229934534
843,smiley-reconstruction,mispredictions-appended,curriculum-reordered-shuffled,0.9054,0.8107269417238363,4637,4417,489,457,0.967842274173384,0.9689356637312715
139,vinai-preprocessing,drop-duplicates,hardest-appended,0.9054,0.8107252972289493,4632,4422,484,462,0.9686924346541042,0.9698986248460311
818,smiley-reconstruction,easiest-appended,curriculum-reordered,0.9054,0.8107252972289493,4632,4422,484,462,0.9675944465811996,0.9687469853480574
252,hardest-interleaved,smiley-reconstruction,curriculum-reordered-shuffled,0.9054,0.8107346998361253,4644,4410,496,450,0.9683887073047096,0.9695819556657407
1168,drop-duplicates,larger-batches-larger-learning-rate,hardest-appended,0.9054,0.8107263190881283,4628,4426,480,466,0.9684210387319294,0.9696167500252247
262,hardest-interleaved,no-easy,mispredictions-interleaved,0.9054,0.8107258688639798,4629,4425,481,465,0.9686237503783337,0.9696929600179042
1201,drop-duplicates,corrects-appended,only-corrects,0.9054,0.810751175442265,4612,4442,464,482,0.9675703380602841,0.9685697452375754
